"screenshot","307"
"files-found-trigger","312"
"mantis","314"
"ivy","325"
"rubyMetrics","337"
"blame-upstream-commiters","337"
"testng-plugin","351"
"javancss","351"
"thinBackup","356"
"saferestart","363"
"slave-status","363"
"grails","365"
"build-publisher","367"
"shelve-project-plugin","369"
"svnpublisher","376"
"mstest","387"
"depgraph-view","401"
"publish-over-ssh","409"
"bugzilla","417"
"ircbot","421"
"ldapemail","426"
"cppcheck","433"
"configurationslicing","436"
"cron_column","442"
"envfile","442"
"viewVC","480"
"view-job-filters","482"
"maven-info","492"
"nant","496"
"global-build-stats","506"
"sloccount","511"
"xvnc","518"
"next-build-number","523"
"compact-columns","526"
"clearcase","529"
"xfpanel","535"
"redmine","536"
"ruby","536"
"claim","540"
"url-change-trigger","550"
"changelog-history","553"
"seleniumhq","561"
"monitoring","562"
"template-project","567"
"port-allocator","569"
"locale","577"
"hudsontrayapp","593"
"doxygen","598"
"nested-view","600"
"jobConfigHistory","603"
"iphoneview","611"
"groovy","613"
"description-setter","623"
"downstream-ext","628"
"doclinks","635"
"rake","636"
"artifactory","638"
"ftppublisher","640"
"sectioned-view","640"
"copy-to-slave","641"
"timestamper","651"
"versionnumber","658"
"python","697"
"trac","709"
"join","721"
"dependencyanalyzer","744"
"perforce","746"
"hudson-pview-plugin","751"
"github","764"
"jdepend","769"
"copyarchiver","784"
"text-finder","792"
"statusmonitor","803"
"svn-release-mgr","851"
"nunit","856"
"jabber","860"
"downstream-buildview","862"
"clover","869"
"performance","873"
"sidebar-link","882"
"ssh","885"
"radiatorviewplugin","898"
"release","898"
"log-parser","929"
"audit-trail","961"
"promoted-builds","981"
"mercurial","1000"
"plot","1077"
"locks-and-latches","1098"
"ci-game","1157"
"copyartifact","1181"
"m2-extra-steps","1189"
"emma","1241"
"emotional-hudson","1257"
"batch-task","1291"
"msbuild","1359"
"instant-messaging","1404"
"m2release","1404"
"svn-tag","1414"
"setenv","1419"
"scp","1466"
"postbuild-task","1476"
"xunit","1506"
"dry","1566"
"deploy","1572"
"parameterized-trigger","1640"
"backup","1651"
"jira","1684"
"build-timeout","1715"
"tasks","1736"
"active-directory","1741"
"htmlpublisher","1842"
"dashboard-view","1995"
"analysis-collector","2008"
"chucknorris","2095"
"violations","2106"
"sonar","2312"
"disk-usage","2375"
"warnings","2433"
"pmd","2529"
"findbugs","2829"
"checkstyle","2855"
"cobertura","2906"
"git","2968"
"scis-ad","3402"
"greenballs","3624"
"email-ext","3841"
"analysis-core","5487"
"cvs","13139"
"maven-plugin","13693"
"subversion","13983"
"ssh-slaves","14025"
